Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,580931,-,-,-,42.77,-101.3,-7,953,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2017,1,1,0,30,-8,0,0,0,0.77,898,-7.1000000000000005,246,2.1
2017,1,1,1,30,-8.200000000000001,0,0,0,0.77,898,-7.5,259,1.8
2017,1,1,2,30,-8.200000000000001,0,0,0,0.77,898,-7.6000000000000005,281,1.3
2017,1,1,3,30,-8.200000000000001,0,0,0,0.77,898,-7.6000000000000005,160,0.9
2017,1,1,4,30,-8.200000000000001,0,0,0,0.77,898,-7.800000000000001,52,0.8
2017,1,1,5,30,-8.3,0,0,0,0.77,898,-8.3,89,0.9
2017,1,1,6,30,-8.700000000000001,0,0,0,0.77,898,-8.700000000000001,105,1.1
2017,1,1,7,30,-8.6,13,317,22,0.77,898,-7.7,115,1.8
2017,1,1,8,30,-8.1,37,698,159,0.77,898,-5.300000000000001,125,2.6
2017,1,1,9,30,-7.1000000000000005,51,832,294,0.77,898,-2.8000000000000003,142,3.5
2017,1,1,10,30,-5.9,114,517,307,0.77,897,0,165,4.5
2017,1,1,11,30,-4.6000000000000005,133,503,340,0.77,896,2,180,5.2
2017,1,1,12,30,-3.8000000000000003,123,539,339,0.77,895,3,182,5.4
2017,1,1,13,30,-3.7,138,286,238,0.77,895,2.9000000000000004,177,5.2
2017,1,1,14,30,-3.9000000000000004,90,311,169,0.77,895,1.7000000000000002,168,4.4
2017,1,1,15,30,-4.5,32,564,102,0.77,896,-0.6000000000000001,160,3.5
2017,1,1,16,30,-5.6000000000000005,0,0,0,0.77,896,-1.9000000000000001,156,3.3000000000000003
2017,1,1,17,30,-6.1000000000000005,0,0,0,0.8,897,-3.5,151,3.2
2017,1,1,18,30,-6.4,0,0,0,0.8,897,-4.2,151,2.9000000000000004
2017,1,1,19,30,-6.6000000000000005,0,0,0,0.8,897,-4.6000000000000005,153,2.5
2017,1,1,20,30,-6.6000000000000005,0,0,0,0.8,897,-4.9,157,2.2
2017,1,1,21,30,-6.7,0,0,0,0.8,897,-5.4,162,1.9000000000000001
2017,1,1,22,30,-6.800000000000001,0,0,0,0.8,897,-5.9,167,1.7000000000000002
2017,1,1,23,30,-6.9,0,0,0,0.8,897,-6.2,170,1.6
2017,1,2,0,30,-6.7,0,0,0,0.8,897,-6,174,1.4000000000000001
2017,1,2,1,30,-6.4,0,0,0,0.8,898,-5.7,185,1.1
2017,1,2,2,30,-6.2,0,0,0,0.8,898,-5.300000000000001,214,0.8
2017,1,2,3,30,-6.1000000000000005,0,0,0,0.8,898,-5,275,0.5
2017,1,2,4,30,-6.2,0,0,0,0.8,898,-5.1000000000000005,162,0.6000000000000001
2017,1,2,5,30,-6.300000000000001,0,0,0,0.8,899,-5.6000000000000005,22,1
2017,1,2,6,30,-6.6000000000000005,0,0,0,0.8,899,-6.1000000000000005,45,1.2000000000000002
2017,1,2,7,30,-6.9,5,0,5,0.8,899,-5.7,37,1.2000000000000002
2017,1,2,8,30,-6.5,51,0,51,0.8,900,-4.4,177,1.6
2017,1,2,9,30,-5.800000000000001,62,0,62,0.8,901,-3.3000000000000003,331,2.4000000000000004
2017,1,2,10,30,-5.800000000000001,112,0,112,0.8,901,-3.2,327,3.7
2017,1,2,11,30,-7,41,0,41,0.8,902,-4.1000000000000005,325,5.2
2017,1,2,12,30,-8.8,173,227,264,0.8,903,-5.4,324,6.2
2017,1,2,13,30,-10.700000000000001,36,0,36,0.8,904,-6.7,323,6.6000000000000005
2017,1,2,14,30,-12,99,219,154,0.8,905,-7.9,325,6.800000000000001
2017,1,2,15,30,-12.9,41,276,76,0.8,906,-9,328,6.6000000000000005
2017,1,2,16,30,-13.8,0,0,0,0.8,906,-9.600000000000001,330,6.5
2017,1,2,17,30,-14.8,0,0,0,0.8,908,-11,329,6
2017,1,2,18,30,-15.700000000000001,0,0,0,0.8,909,-11.700000000000001,328,6
2017,1,2,19,30,-16.3,0,0,0,0.8,910,-11.8,328,6.4
2017,1,2,20,30,-16.7,0,0,0,0.8,910,-11.9,329,6.4
2017,1,2,21,30,-16.900000000000002,0,0,0,0.8,910,-11.9,329,6.4
2017,1,2,22,30,-16.900000000000002,0,0,0,0.8,911,-11.9,329,6.5
2017,1,2,23,30,-16.900000000000002,0,0,0,0.8,911,-12,331,6.7
2017,1,3,0,30,-17,0,0,0,0.8,911,-12,334,6.800000000000001
2017,1,3,1,30,-17.2,0,0,0,0.8,911,-12.200000000000001,336,6.800000000000001
2017,1,3,2,30,-17.3,0,0,0,0.8,912,-12.600000000000001,337,6.6000000000000005
2017,1,3,3,30,-17.5,0,0,0,0.8,912,-13,339,6.300000000000001
2017,1,3,4,30,-17.7,0,0,0,0.8,913,-13.4,341,6.1000000000000005
2017,1,3,5,30,-18,0,0,0,0.8,913,-13.8,342,5.9
2017,1,3,6,30,-18.3,0,0,0,0.8,914,-14.100000000000001,341,5.7
2017,1,3,7,30,-18.6,9,0,9,0.8,915,-14.3,341,5.5
2017,1,3,8,30,-18.8,59,0,59,0.8,915,-14,341,5.300000000000001
2017,1,3,9,30,-18.8,121,130,159,0.8,915,-13.4,340,5.2
2017,1,3,10,30,-18.7,119,491,303,0.8,915,-12.4,337,5.2
2017,1,3,11,30,-18.400000000000002,142,463,333,0.8,914,-11.600000000000001,334,5.2
2017,1,3,12,30,-18.3,146,418,316,0.8,914,-11.200000000000001,331,5.300000000000001
2017,1,3,13,30,-18.2,134,333,251,0.8,914,-11.3,329,5.2
2017,1,3,14,30,-18.3,55,801,261,0.8,914,-11.9,329,4.7
2017,1,3,15,30,-18.5,36,591,112,0.8,914,-13,331,4
2017,1,3,16,30,-19.1,0,0,0,0.8,914,-13.600000000000001,332,3.6
2017,1,3,17,30,-19.5,0,0,0,0.8,914,-14.700000000000001,333,3.1
2017,1,3,18,30,-19.700000000000003,0,0,0,0.8,915,-15.100000000000001,331,2.9000000000000004
2017,1,3,19,30,-19.900000000000002,0,0,0,0.8,915,-15.4,329,2.8000000000000003
2017,1,3,20,30,-20,0,0,0,0.8,914,-15.600000000000001,331,2.8000000000000003
2017,1,3,21,30,-20.200000000000003,0,0,0,0.8,914,-15.700000000000001,334,2.7
2017,1,3,22,30,-20.3,0,0,0,0.8,914,-15.8,336,2.7
2017,1,3,23,30,-20.400000000000002,0,0,0,0.8,914,-15.9,336,2.6
2017,1,4,0,30,-20.400000000000002,0,0,0,0.8,913,-15.9,335,2.4000000000000004
2017,1,4,1,30,-20.5,0,0,0,0.8,913,-15.9,334,2.2
2017,1,4,2,30,-20.5,0,0,0,0.8,912,-15.9,334,2
2017,1,4,3,30,-20.6,0,0,0,0.8,912,-15.8,335,1.8
2017,1,4,4,30,-20.6,0,0,0,0.8,911,-15.8,341,1.7000000000000002
2017,1,4,5,30,-20.700000000000003,0,0,0,0.8,911,-15.9,353,1.5
2017,1,4,6,30,-20.8,0,0,0,0.8,910,-15.9,181,1.3
2017,1,4,7,30,-20.8,10,0,10,0.8,910,-15.600000000000001,181,1.1
2017,1,4,8,30,-20.5,65,47,74,0.8,910,-15.200000000000001,343,1
2017,1,4,9,30,-20.3,121,139,162,0.8,910,-14.9,321,1.2000000000000002
