Eload,G,T,Vw
0.661226169,0.0,-7.1000000000000005,10
0.558963057,0.0,-7.5,10
0.522875439,0.0,-7.6,10
0.515335653,0.0,-7.6,10
0.517807131,0.0,-7.800000000000001,10
0.572007435,0.0,-8.3,10
0.792836823,0.0,-8.700000000000001,10
1.069330052,11.984108386706698,-7.7,10
1.01828584,374.60093272583293,-5.300000000000001,10
0.884403999,594.3667008660068,-2.8000000000000003,10
0.887961284,500.36893507281604,0.0,10
0.885066262,532.1882284712366,2.0,10
0.862598906,546.7968854463805,3.0,10
0.835623927,333.3526888040498,2.9000000000000004,10
0.831356819,267.60315564671873,1.7000000000000002,10
0.891545084,262.0202511307596,-0.6000000000000001,10
1.119593078,0.0,-1.9,10
1.53810911,0.0,-3.5,10
1.811788512,0.0,-4.2,10
1.762817728,0.0,-4.6000000000000005,10
1.634983069,0.0,-4.9,10
1.49386948,0.0,-5.4,10
1.209909129,0.0,-5.9,10
0.927962678,0.0,-6.2,10
0.654174009,0.0,-6.0,10
0.554644738,0.0,-5.7,10
0.520877679,0.0,-5.300000000000001,10
0.512541711,0.0,-5.0,10
0.513100065,0.0,-5.1000000000000005,10
0.563343144,0.0,-5.6000000000000005,10
0.754049123,0.0,-6.1000000000000005,10
1.060461012,4.43508010227162,-5.7,10
0.990716127,45.23781704317053,-4.4,10
0.850245965,54.994993268168095,-3.3000000000000003,10
0.858626966,99.34579429088431,-3.2,10
0.857535533,36.36765683862729,-4.1000000000000005,10
0.8366665,338.34679010817354,-5.4,10
0.813139805,31.93257673635567,-6.7,10
0.81057078,220.72170956678934,-7.9,10
0.873924705,151.44265963529227,-9.0,10
1.10116311,0.0,-9.6,10
1.530277178,0.0,-11.0,10
1.785718547,0.0,-11.7,10
1.733059035,0.0,-11.8,10
1.60596805,0.0,-11.9,10
1.467649932,0.0,-11.9,10
1.1988012,0.0,-11.9,10
0.933761104,0.0,-12.0,10
0.668902201,0.0,-12.0,10
0.5647897,0.0,-12.2,10
0.522927704,0.0,-12.6,10
0.511126883,0.0,-13.0,10
0.51423831,0.0,-13.4,10
0.564102744,0.0,-13.8,10
0.773486939,0.0,-14.1,10
1.056814289,7.983144184088918,-14.3,10
0.972399199,52.333945206805126,-14.0,10
0.816670382,193.15111288393794,-13.4,10
0.815250596,485.55167071877145,-12.4,10
0.829634338,508.5590551524649,-11.6,10
0.814788399,470.5057683562673,-11.2,10
0.792035895,366.139796359242,-11.3,10
0.792231247,536.5754643658994,-11.9,10
0.854486111,279.7431425290619,-13.0,10
1.083675159,0.0,-13.6,10
1.50275718,0.0,-14.7,10
1.777478196,0.0,-15.1,10
1.728572974,0.0,-15.4,10
1.600127698,0.0,-15.6,10
1.458262622,0.0,-15.7,10
1.181615917,0.0,-15.8,10
0.910374112,0.0,-15.9,10
0.65405436,0.0,-15.9,10
0.55980262,0.0,-15.9,10
0.532968467,0.0,-15.9,10
0.530071623,0.0,-15.8,10
0.533115104,0.0,-15.8,10
0.588371169,0.0,-15.9,10
0.779170869,0.0,-15.9,10
1.059165352,8.87016020454324,-15.6,10
0.992260534,80.58429088755038,-15.2,10
0.834332824,199.07118512711864,-14.9,10
0.832937806,238.27308418777864,-14.6,10
0.829634338,349.8662271717996,-14.4,10
0.814788399,335.06863368177153,-14.4,10
0.792035895,326.3299292086303,-14.5,10
0.792231247,76.28337775907187,-14.7,10
0.854486111,37.25467285908161,-14.9,10
1.083675159,0.0,-15.0,10
1.50275718,0.0,-15.0,10
1.777478196,0.0,-14.9,10
1.728572974,0.0,-15.0,10
1.600127698,0.0,-15.2,10
1.458262622,0.0,-15.3,10
1.186177685,0.0,-15.4,10
0.924890739,0.0,-15.0,10
0.666878286,0.0,-14.4,10
0.570978583,0.0,-14.2,10
0.537815753,0.0,-14.6,10
0.532138449,0.0,-15.3,10
0.535830889,0.0,-16.2,10
0.588234276,0.0,-17.1,10
0.798513776,0.0,-17.7,10
1.066178359,11.531208265906214,-17.1,10
1.00936966,397.0027455240405,-15.8,10
0.872422978,631.7157484801863,-14.8,10
