Eload,G,T,Vw
0.04,0.0,-4.4,4.5
0.04,0.0,-4.9,4.4
0.04,0.0,-5.300000000000001,4.2
0.04,0.0,-5.6000000000000005,4.0
0.04,0.0,-5.7,3.9
0.04,0.0,-5.800000000000001,3.7
0.04,0.0,-6.0,3.5
0.04,0.0,-6.0,3.4000000000000004
0.04,21.27268624592475,-5.4,3.5
0.2,113.83285570558016,-4.5,3.8
0.36,78.88621149530425,-4.0,4.0
0.36,99.27253581431549,-3.9,4.0
0.36,281.56355125480616,-3.9,4.0
0.36,216.63819656342395,-4.1000000000000005,4.1000000000000005
0.2,186.45881671009502,-4.6000000000000005,4.0
0.04,74.44359712042406,-5.6000000000000005,3.8
0.04,35.5613435101218,-7.2,3.2
0.04,0.0,-8.9,2.8000000000000003
0.04,0.0,-9.5,2.7
0.04,0.0,-10.1,2.7
0.04,0.0,-10.4,2.8000000000000003
0.04,0.0,-10.4,3.0
0.04,0.0,-10.1,3.3000000000000003
0.04,0.0,-9.8,3.6
0.04,0.0,-9.6,3.9
0.04,0.0,-9.8,4.2
0.04,0.0,-10.4,4.4
0.04,0.0,-11.1,4.3
0.04,0.0,-11.5,4.1000000000000005
0.04,0.0,-11.6,3.9
0.04,0.0,-11.6,3.6
0.04,0.0,-11.4,3.4000000000000004
0.04,165.75654443101854,-10.0,3.5
0.2,128.17713715628608,-7.800000000000001,4.0
0.36,196.7288992177231,-6.4,4.4
0.36,168.5329206289347,-5.9,4.3
0.36,218.8350807646031,-5.6000000000000005,4.1000000000000005
0.36,200.11384622543713,-5.7,3.7
0.2,88.70160204543242,-5.9,3.3000000000000003
0.04,36.36765683862729,-6.6000000000000005,2.6
0.04,58.35753211741036,-7.800000000000001,2.2
0.04,0.0,-8.9,2.2
0.04,0.0,-9.3,2.2
0.04,0.0,-9.7,2.3000000000000003
0.04,0.0,-10.0,2.4000000000000004
0.04,0.0,-10.2,2.3000000000000003
0.04,0.0,-10.2,2.3000000000000003
0.04,0.0,-9.9,2.2
0.04,0.0,-9.6,2.2
0.04,0.0,-9.3,2.2
0.04,0.0,-9.1,2.3000000000000003
0.04,0.0,-8.700000000000001,2.3000000000000003
0.04,0.0,-8.200000000000001,2.4000000000000004
0.04,0.0,-7.800000000000001,2.5
0.04,0.0,-7.7,2.7
0.04,0.0,-7.9,3.1
0.04,20.40136847044946,-7.1000000000000005,4.0
0.2,33.706608777264314,-5.9,5.1000000000000005
0.36,52.333945206805126,-5.1000000000000005,5.800000000000001
0.36,98.45877827042997,-4.800000000000001,6.300000000000001
0.36,118.86014674087943,-4.6000000000000005,6.4
0.36,81.60547388179783,-4.3,6.4
0.2,96.68474622952134,-4.0,6.300000000000001
0.04,25.7234645931754,-3.6,6.0
0.04,18.627336429540804,-3.3000000000000003,5.800000000000001
0.04,0.0,-3.0,5.7
0.04,0.0,-2.8000000000000003,5.7
0.04,0.0,-3.2,5.2
0.04,0.0,-3.7,5.1000000000000005
0.04,0.0,-4.0,5.2
0.04,0.0,-4.3,5.2
0.04,0.0,-4.7,5.0
0.04,0.0,-5.5,4.7
0.04,0.0,-6.1000000000000005,4.7
0.04,0.0,-6.0,5.0
0.04,0.0,-5.4,5.7
0.04,0.0,-4.6000000000000005,6.4
0.04,0.0,-4.2,6.9
0.04,0.0,-4.2,7.300000000000001
0.04,0.0,-4.3,7.800000000000001
0.04,146.42038949707825,-3.9,8.3
0.2,408.9682908686182,-3.5,8.700000000000001
0.36,156.5052649033256,-3.2,8.8
