Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,355378,-,-,-,51.49,-0.14,0,11,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2016,1,1,0,30,3.6,0.25,0.17,0.68,0,0,0,0,3.3000000000000003,0,0,0,0,97.59,151.48,0.1,1018,0.9,254,2.6
2016,1,1,1,30,3.1,0.29,0.163,0.68,0,0,0,0,3.1,0,0,0,0,100,148.41,0.1,1019,0.9,263,2.1
2016,1,1,2,30,3,0.34,0.14300000000000002,0.68,0,0,0,0,3,0,0,0,0,99.83,141.98,0.1,1019,0.9,275,1.6
2016,1,1,3,30,3.3000000000000003,0.41000000000000003,0.126,0.68,0,0,0,4,3,0,0,0,0,97.67,133.71,0.1,1020,0.9,295,1.1
2016,1,1,4,30,3.6,0.48,0.123,0.68,0,0,0,5,3,0,0,0,0,95.73,124.62,0.1,1020,0.9,259,0.5
2016,1,1,5,30,3.7,0.52,0.125,0.68,0,0,0,7,3,0,0,0,0,95.21000000000001,115.29,0.1,1020,0.9,99,1
2016,1,1,6,30,3.8000000000000003,0.51,0.132,0.68,0,0,0,5,3.1,0,0,0,0,95.41,106.15,0.1,1020,1,111,1.7000000000000002
2016,1,1,7,30,4,0.51,0.137,0.68,0,0,0,4,3.3000000000000003,0,0,0,0,94.88,97.53,0.1,1020,1,113,2.2
2016,1,1,8,30,4.3,0.5,0.139,0.68,0,0,0,8,3.4000000000000004,0,0,7,0,94.06,89.3,0.1,1020,0.9,115,2.9000000000000004
2016,1,1,9,30,5,0.49,0.14,0.68,49,262,81,8,3.7,12,0,7,12,91.53,83.08,0.1,1019,0.9,119,3.5
2016,1,1,10,30,5.800000000000001,0.5,0.138,0.68,71,439,161,6,4,5,0,0,5,88.41,78.18,0.1,1018,1,122,3.8000000000000003
2016,1,1,11,30,6.7,0.52,0.133,0.68,80,523,213,7,4.5,47,1,0,47,85.83,75.22,0.1,1017,1.2000000000000002,125,4
2016,1,1,12,30,7.2,0.54,0.126,0.68,80,546,226,6,4.9,25,0,0,25,85.19,74.49,0.1,1016,1.4000000000000001,126,4.3
2016,1,1,13,30,7.1000000000000005,0.5700000000000001,0.126,0.68,74,504,195,6,5,14,0,0,14,86.7,76.06,0.1,1014,1.7000000000000002,126,4.6000000000000005
2016,1,1,14,30,6.9,0.61,0.137,0.68,62,381,130,6,5.300000000000001,3,0,0,3,89.5,79.78,0.1,1013,1.8,126,4.9
2016,1,1,15,30,6.9,0.73,0.135,0.68,33,176,48,6,5.800000000000001,7,0,7,7,92.69,85.28,0.1,1012,1.9000000000000001,127,5.1000000000000005
2016,1,1,16,30,7.1000000000000005,0.84,0.125,0.68,0,0,0,6,6.300000000000001,0,0,0,0,94.83,92.5,0.1,1011,1.9000000000000001,130,5.2
2016,1,1,17,30,7.4,0.9,0.115,0.68,0,0,0,6,6.7,0,0,0,0,95.15,100.62,0.1,1010,1.8,130,5.300000000000001
2016,1,1,18,30,7.5,0.91,0.113,0.68,0,0,0,9,6.800000000000001,0,0,0,0,95.12,109.47,0.1,1009,1.7000000000000002,131,5.800000000000001
2016,1,1,19,30,7.4,0.89,0.122,0.68,0,0,0,6,6.6000000000000005,0,0,0,0,94.57000000000001,118.71000000000001,0.1,1008,1.8,132,6.4
2016,1,1,20,30,7.2,0.87,0.14400000000000002,0.68,0,0,0,6,6.300000000000001,0,0,0,0,93.76,128,0.1,1006,1.9000000000000001,132,6.800000000000001
2016,1,1,21,30,7,0.89,0.16,0.68,0,0,0,6,6,0,0,0,0,93.23,136.87,0.1,1005,1.9000000000000001,134,6.9
2016,1,1,22,30,6.9,0.9400000000000001,0.17,0.68,0,0,0,6,5.9,0,0,0,0,93.31,144.6,0.1,1004,2,135,6.800000000000001
2016,1,1,23,30,7,0.9500000000000001,0.155,0.68,0,0,0,7,6,0,0,0,0,93.66,149.96,0.1,1002,2,135,6.4
2016,1,2,0,30,7.2,0.9500000000000001,0.158,0.68,0,0,0,4,6.300000000000001,0,0,0,0,94.18,151.41,0.1,1001,1.9000000000000001,136,6
2016,1,2,1,30,7.5,0.93,0.162,0.68,0,0,0,4,6.7,0,0,0,0,94.45,148.38,0.1,1000,1.7000000000000002,138,5.6000000000000005
2016,1,2,2,30,7.800000000000001,0.88,0.148,0.68,0,0,0,5,7,0,0,0,0,94.96000000000001,141.98,0.1,1000,1.5,140,5.4
2016,1,2,3,30,8,0.79,0.124,0.68,0,0,0,4,7.4,0,0,0,0,95.85000000000001,133.72,0.1,999,1.3,142,5.4
2016,1,2,4,30,8.200000000000001,0.64,0.114,0.68,0,0,0,2,7.6000000000000005,0,0,0,0,96.19,124.63000000000001,0.1,998,1.2000000000000002,145,5.5
2016,1,2,5,30,8.4,0.44,0.14100000000000001,0.68,0,0,0,4,7.7,0,0,0,0,95.65,115.31,0.1,997,1.3,147,5.7
2016,1,2,6,30,8.5,0.28,0.19,0.68,0,0,0,4,7.800000000000001,0,0,0,0,95.42,106.16,0.1,997,1.5,150,5.9
2016,1,2,7,30,8.700000000000001,0.18,0.253,0.68,0,0,0,4,7.800000000000001,0,0,0,0,94.18,97.53,0.1,996,1.6,152,5.9
2016,1,2,8,30,8.9,0.13,0.31,0.68,0,0,0,1,7.800000000000001,0,0,0,0,93.10000000000001,89.3,0.1,996,1.7000000000000002,153,6
2016,1,2,9,30,9.3,0.12,0.341,0.68,57,56,64,4,8.1,9,0,7,9,92.05,83.05,0.1,996,1.7000000000000002,154,6.2
2016,1,2,10,30,9.600000000000001,0.13,0.337,0.68,102,176,138,4,8.200000000000001,6,0,0,6,91.25,78.13,0.1,996,1.7000000000000002,155,6.2
2016,1,2,11,30,9.700000000000001,0.14,0.326,0.68,121,256,187,5,8.3,8,0,0,8,90.99,75.16,0.1,995,1.8,152,6.2
2016,1,2,12,30,9.8,0.16,0.34500000000000003,0.68,129,259,198,3,8.4,9,0,0,9,90.71000000000001,74.41,0.1,994,1.8,147,6.1000000000000005
2016,1,2,13,30,9.8,0.18,0.378,0.68,120,200,169,5,8.6,20,0,0,20,91.93,75.96000000000001,0.1,993,2,142,5.7
2016,1,2,14,30,9.9,0.19,0.37,0.68,89,121,110,3,8.9,18,0,7,18,93.78,79.66,0.1,993,2.1,142,4.7
2016,1,2,15,30,9.9,0.25,0.326,0.68,35,27,38,4,9.200000000000001,5,0,7,5,95.64,85.16,0.1,993,2.1,152,3.4000000000000004
2016,1,2,16,30,9.8,0.31,0.275,0.68,0,0,0,4,9.4,0,0,0,0,97.37,92.36,0.1,993,2.1,182,2.3000000000000003
2016,1,2,17,30,9.8,0.35000000000000003,0.242,0.68,0,0,0,4,9.5,0,0,0,0,97.69,100.48,0.1,993,2,227,2.3000000000000003
2016,1,2,18,30,9.600000000000001,0.37,0.244,0.68,0,0,0,4,9.3,0,0,0,0,97.76,109.33,0.1,994,1.9000000000000001,251,3.5
2016,1,2,19,30,9.5,0.37,0.253,0.68,0,0,0,4,9,0,0,0,0,96.5,118.58,0.1,995,1.9000000000000001,258,5
2016,1,2,20,30,9.3,0.38,0.229,0.68,0,0,0,4,8.700000000000001,0,0,0,0,95.76,127.87,0.1,996,1.8,259,5.5
2016,1,2,21,30,9.1,0.43,0.196,0.68,0,0,0,4,8.5,0,0,0,0,95.89,136.74,0.1,997,1.7000000000000002,258,5.4
2016,1,2,22,30,9,0.53,0.18,0.68,0,0,0,4,8.4,0,0,0,0,95.82000000000001,144.47,0.1,998,1.7000000000000002,256,5.4
2016,1,2,23,30,8.9,0.62,0.165,0.68,0,0,0,5,8.200000000000001,0,0,0,0,95.67,149.84,0.1,998,1.6,253,5.5
2016,1,3,0,30,8.5,0.6900000000000001,0.159,0.68,0,0,0,4,7.9,0,0,0,0,95.99000000000001,151.33,0.1,999,1.6,251,5.7
2016,1,3,1,30,7.9,0.71,0.147,0.68,0,0,0,3,7.2,0,0,0,0,95.39,148.33,0.1,999,1.4000000000000001,250,5.9
2016,1,3,2,30,7.1000000000000005,0.6900000000000001,0.112,0.68,0,0,0,4,6.2,0,0,0,0,94.25,141.96,0.1,1000,1.2000000000000002,247,5.6000000000000005
2016,1,3,3,30,5.9,0.73,0.074,0.68,0,0,0,3,5,0,0,0,0,93.82000000000001,133.72,0.1,999,1,240,4.7
