Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,1035736,-,-,-,42.97,-81.26,-5,252,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
2013,1,1,0,30,-6.5,0,0,0,0.79,985,-4.4,311,4.5
2013,1,1,1,30,-7.4,0,0,0,0.79,985,-4.9,313,4.4
2013,1,1,2,30,-7.9,0,0,0,0.79,986,-5.300000000000001,313,4.2
2013,1,1,3,30,-8.3,0,0,0,0.79,986,-5.6000000000000005,313,4
2013,1,1,4,30,-8.4,0,0,0,0.79,986,-5.7,314,3.9000000000000004
2013,1,1,5,30,-8.3,0,0,0,0.79,986,-5.800000000000001,317,3.7
2013,1,1,6,30,-8.4,0,0,0,0.79,987,-6,320,3.5
2013,1,1,7,30,-8.6,0,0,0,0.79,987,-6,324,3.4000000000000004
2013,1,1,8,30,-8.4,24,0,24,0.79,987,-5.4,328,3.5
2013,1,1,9,30,-7.7,83,73,98,0.79,987,-4.5,329,3.8000000000000003
2013,1,1,10,30,-7.7,89,0,89,0.79,987,-4,325,4
2013,1,1,11,30,-7.800000000000001,112,0,112,0.79,987,-3.9000000000000004,317,4
2013,1,1,12,30,-7.9,177,151,239,0.79,987,-3.9000000000000004,307,4
2013,1,1,13,30,-8.1,163,91,198,0.79,987,-4.1000000000000005,299,4.1000000000000005
2013,1,1,14,30,-8.3,130,102,163,0.79,986,-4.6000000000000005,293,4
2013,1,1,15,30,-8.700000000000001,76,13,79,0.79,986,-5.6000000000000005,291,3.8000000000000003
2013,1,1,16,30,-9.5,26,37,28,0.79,987,-7.2,290,3.2
2013,1,1,17,30,-11.3,0,0,0,0.79,987,-8.9,289,2.8000000000000003
2013,1,1,18,30,-12.3,0,0,0,0.79,987,-9.5,288,2.7
2013,1,1,19,30,-12.5,0,0,0,0.8,988,-10.100000000000001,278,2.7
2013,1,1,20,30,-12.8,0,0,0,0.8,988,-10.4,272,2.8000000000000003
2013,1,1,21,30,-13,0,0,0,0.8,988,-10.4,268,3
2013,1,1,22,30,-12.8,0,0,0,0.8,987,-10.100000000000001,267,3.3000000000000003
2013,1,1,23,30,-12.600000000000001,0,0,0,0.8,987,-9.8,268,3.6
2013,1,2,0,30,-12.3,0,0,0,0.8,986,-9.600000000000001,270,3.9000000000000004
2013,1,2,1,30,-11.9,0,0,0,0.8,986,-9.8,272,4.2
2013,1,2,2,30,-12,0,0,0,0.8,987,-10.4,274,4.4
2013,1,2,3,30,-12.4,0,0,0,0.8,987,-11.100000000000001,276,4.3
2013,1,2,4,30,-13,0,0,0,0.8,987,-11.5,279,4.1000000000000005
2013,1,2,5,30,-13.200000000000001,0,0,0,0.8,988,-11.600000000000001,280,3.9000000000000004
2013,1,2,6,30,-13.100000000000001,0,0,0,0.8,988,-11.600000000000001,280,3.6
2013,1,2,7,30,-13,0,0,0,0.8,989,-11.4,280,3.4000000000000004
2013,1,2,8,30,-12.5,27,410,59,0.8,989,-10,279,3.5
2013,1,2,9,30,-10.700000000000001,83,99,104,0.8,990,-7.800000000000001,278,4
2013,1,2,10,30,-9.200000000000001,133,112,168,0.8,990,-6.4,277,4.4
2013,1,2,11,30,-8.6,155,39,170,0.8,990,-5.9,274,4.3
2013,1,2,12,30,-8.3,174,78,206,0.8,990,-5.6000000000000005,273,4.1000000000000005
2013,1,2,13,30,-8.200000000000001,162,71,189,0.8,990,-5.7,273,3.7
2013,1,2,14,30,-8.3,100,0,100,0.8,991,-5.9,271,3.3000000000000003
2013,1,2,15,30,-8.4,41,0,41,0.8,991,-6.6000000000000005,267,2.6
2013,1,2,16,30,-9.200000000000001,27,101,34,0.8,991,-7.800000000000001,262,2.2
2013,1,2,17,30,-10.5,0,0,0,0.8,992,-8.9,257,2.2
2013,1,2,18,30,-11.100000000000001,0,0,0,0.8,992,-9.3,254,2.2
2013,1,2,19,30,-11.4,0,0,0,0.8,992,-9.700000000000001,246,2.3000000000000003
2013,1,2,20,30,-11.600000000000001,0,0,0,0.8,992,-10,244,2.4000000000000004
2013,1,2,21,30,-11.700000000000001,0,0,0,0.8,992,-10.200000000000001,244,2.3000000000000003
2013,1,2,22,30,-11.700000000000001,0,0,0,0.8,991,-10.200000000000001,244,2.3000000000000003
2013,1,2,23,30,-11.4,0,0,0,0.8,991,-9.9,244,2.2
2013,1,3,0,30,-11.100000000000001,0,0,0,0.8,991,-9.600000000000001,245,2.2
2013,1,3,1,30,-10.700000000000001,0,0,0,0.8,991,-9.3,245,2.2
2013,1,3,2,30,-10.4,0,0,0,0.8,991,-9.1,245,2.3000000000000003
2013,1,3,3,30,-10,0,0,0,0.8,991,-8.700000000000001,243,2.3000000000000003
2013,1,3,4,30,-9.700000000000001,0,0,0,0.8,990,-8.200000000000001,240,2.4000000000000004
2013,1,3,5,30,-9.1,0,0,0,0.8,990,-7.800000000000001,236,2.5
2013,1,3,6,30,-8.8,0,0,0,0.8,989,-7.7,232,2.7
2013,1,3,7,30,-9.200000000000001,0,0,0,0.8,989,-7.9,228,3.1
2013,1,3,8,30,-9.4,23,0,23,0.8,988,-7.1000000000000005,227,4
2013,1,3,9,30,-8.3,38,0,38,0.8,988,-5.9,230,5.1000000000000005
2013,1,3,10,30,-7.6000000000000005,59,0,59,0.8,988,-5.1000000000000005,236,5.800000000000001
2013,1,3,11,30,-7,111,0,111,0.8,987,-4.800000000000001,242,6.300000000000001
2013,1,3,12,30,-6.6000000000000005,134,0,134,0.8,986,-4.6000000000000005,247,6.4
2013,1,3,13,30,-6.2,92,0,92,0.8,986,-4.3,252,6.4
2013,1,3,14,30,-5.7,109,0,109,0.8,986,-4,257,6.300000000000001
2013,1,3,15,30,-5.2,29,0,29,0.8,986,-3.6,261,6
2013,1,3,16,30,-4.7,21,0,21,0.8,987,-3.3000000000000003,265,5.800000000000001
2013,1,3,17,30,-4.3,0,0,0,0.8,988,-3,271,5.7
2013,1,3,18,30,-4,0,0,0,0.8,988,-2.8000000000000003,274,5.7
2013,1,3,19,30,-4.2,0,0,0,0.77,988,-3.2,275,5.2
2013,1,3,20,30,-4.7,0,0,0,0.77,988,-3.7,274,5.1000000000000005
2013,1,3,21,30,-5.4,0,0,0,0.77,988,-4,273,5.2
2013,1,3,22,30,-5.6000000000000005,0,0,0,0.77,988,-4.3,271,5.2
2013,1,3,23,30,-5.800000000000001,0,0,0,0.77,988,-4.7,268,5
2013,1,4,0,30,-6.300000000000001,0,0,0,0.77,988,-5.5,262,4.7
2013,1,4,1,30,-7,0,0,0,0.77,988,-6.1000000000000005,257,4.7
2013,1,4,2,30,-7.2,0,0,0,0.77,988,-6,253,5
2013,1,4,3,30,-6.6000000000000005,0,0,0,0.77,987,-5.4,250,5.7
2013,1,4,4,30,-6,0,0,0,0.77,987,-4.6000000000000005,249,6.4
2013,1,4,5,30,-5.6000000000000005,0,0,0,0.77,987,-4.2,247,6.9
2013,1,4,6,30,-5.5,0,0,0,0.77,986,-4.2,245,7.300000000000001
2013,1,4,7,30,-5.800000000000001,0,0,0,0.77,986,-4.3,245,7.800000000000001
2013,1,4,8,30,-6,28,354,56,0.77,986,-3.9000000000000004,246,8.3
2013,1,4,9,30,-5.800000000000001,56,654,197,0.77,987,-3.5,248,8.700000000000001
2013,1,4,10,30,-5.6000000000000005,130,59,149,0.77,986,-3.2,250,8.8
2013,1,4,11,30,-5.300000000000001,166,99,205,0.77,986,-3.1,253,8.700000000000001
2013,1,4,12,30,-5.2,90,832,434,0.77,985,-3,255,8.4
2013,1,4,13,30,-5.1000000000000005,98,785,405,0.77,985,-2.8000000000000003,254,8
2013,1,4,14,30,-4.800000000000001,85,735,323,0.77,985,-2.6,252,7.7
2013,1,4,15,30,-4.5,61,637,199,0.77,985,-2.6,250,7.300000000000001
2013,1,4,16,30,-4.3,30,346,57,0.77,986,-2.8000000000000003,250,7.1000000000000005
2013,1,4,17,30,-4.3,0,0,0,0.77,986,-3,253,7.1000000000000005
2013,1,4,18,30,-4.4,0,0,0,0.77,987,-3.1,255,7.1000000000000005
2013,1,4,19,30,-4.4,0,0,0,0.75,988,-3.1,259,6.9
2013,1,4,20,30,-4.3,0,0,0,0.75,988,-3.1,261,6.6000000000000005
2013,1,4,21,30,-4.3,0,0,0,0.75,989,-3.2,263,6.2
2013,1,4,22,30,-4.4,0,0,0,0.75,989,-3.4000000000000004,265,5.6000000000000005
2013,1,4,23,30,-4.5,0,0,0,0.75,990,-3.6,267,5.2
2013,1,5,0,30,-4.7,0,0,0,0.75,990,-3.8000000000000003,269,5
2013,1,5,1,30,-4.800000000000001,0,0,0,0.75,990,-4,273,4.6000000000000005
2013,1,5,2,30,-5,0,0,0,0.75,991,-4.3,276,4.1000000000000005
2013,1,5,3,30,-5.2,0,0,0,0.75,991,-4.5,277,3.6
2013,1,5,4,30,-5.4,0,0,0,0.75,992,-4.7,276,3.1
2013,1,5,5,30,-5.7,0,0,0,0.75,993,-5,274,2.6
2013,1,5,6,30,-6.1000000000000005,0,0,0,0.75,994,-5.300000000000001,269,2.2
2013,1,5,7,30,-6.4,0,0,0,0.75,994,-5.300000000000001,259,1.9000000000000001
2013,1,5,8,30,-6.4,27,419,60,0.75,995,-4.5,239,1.9000000000000001
2013,1,5,9,30,-5,51,712,206,0.75,995,-2.9000000000000004,217,2.5
2013,1,5,10,30,-3.8000000000000003,113,1,113,0.75,995,-1.9000000000000001,204,3.1
2013,1,5,11,30,-3.5,133,1,134,0.75,994,-1.5,201,3.5
2013,1,5,12,30,-3.1,158,21,166,0.75,993,-1.2000000000000002,205,4
