Eload,G,T,Vw
0.689863604,0.0,15.5,3.9
0.591935726,0.0,15.4,4.0
0.555798062,0.0,15.2,4.1000000000000005
0.549014748,0.0,15.1,4.2
0.552196581,0.0,14.9,4.1000000000000005
0.605058038,0.0,14.8,4.1000000000000005
0.800820495,0.0,15.3,4.1000000000000005
1.08150093,156.1081563167401,16.8,4.2
1.011898905,149.17983930328512,18.7,4.0
0.877835917,626.6501857687603,20.6,3.6
0.884392311,474.3276758759619,22.200000000000003,3.2
0.882123098,858.5789887940444,23.3,2.7
0.862598906,490.07529935024564,24.0,2.4000000000000004
0.835623927,755.1866374307334,24.1,2.3000000000000003
0.831356819,322.3152745888469,23.1,1.9
0.891545084,362.1066443889619,22.200000000000003,1.6
1.119593078,97.75185417609349,18.1,1.4
1.538141665,0.0,16.8,1.3
1.811788512,0.0,16.1,1.3
1.762817728,0.0,15.7,1.3
1.634983069,0.0,15.5,1.3
1.49985158,0.0,15.4,1.4
1.22995391,0.0,15.3,1.5
0.957995257,0.0,15.2,1.6
0.686646219,0.0,15.0,1.7000000000000002
0.591176727,0.0,14.7,1.7000000000000002
0.557876301,0.0,14.5,1.8
0.551816638,0.0,14.4,1.9
0.551775852,0.0,14.3,2.2
0.60325805,0.0,14.4,2.6
0.819461002,0.0,15.2,3.0
1.070377563,66.65106082963891,17.2,3.5
0.987549777,421.4240605954256,19.3,3.7
0.830067345,635.1193215644407,21.1,3.3000000000000003
0.817948299,777.9170128416969,22.4,2.6
0.829634338,849.2628631633681,23.0,2.1
0.814788399,494.5984088152423,23.1,2.1
0.792035895,753.0638969834596,22.700000000000003,2.2
0.792231247,588.4607957200267,21.6,2.1
0.854486111,359.3192161692249,20.8,1.9
1.083675159,94.53125253986474,17.7,1.9
1.50275718,0.0,16.6,1.9
1.777478196,0.0,16.0,1.8
1.728572974,0.0,15.6,1.6
1.600127698,0.0,15.4,1.5
1.458262622,0.0,15.5,1.4
1.181615917,0.0,15.6,1.4
0.915058797,0.0,15.7,1.4
0.654877307,0.0,15.9,1.4
0.553906869,0.0,16.2,1.4
0.516873082,0.0,16.400000000000002,1.3
0.511321182,0.0,16.5,1.3
0.5122299,0.0,16.5,1.3
0.563539401,0.0,16.3,1.3
0.778019778,0.0,16.6,1.4
1.038850808,73.05216112398901,18.2,1.6
0.969901185,172.7974959459723,20.1,1.9
0.818179842,624.963815694869,21.700000000000003,1.9
0.817073665,766.0522384527192,23.3,1.7000000000000002
0.829634338,527.5026873442696,24.5,1.5
0.814788399,828.5925222951197,25.0,1.6
0.792035895,741.4552719413392,25.0,1.7000000000000002
0.792231247,316.19951850665615,24.0,1.7000000000000002
0.854486111,359.00282211819604,23.200000000000003,1.7000000000000002
1.083675159,95.69355488837462,19.0,1.8
1.508275362,0.0,17.5,2.0
1.777478196,0.0,16.7,2.0
1.728572974,0.0,16.3,1.9
1.606209974,0.0,16.2,1.6
1.472710969,0.0,16.1,1.5
1.211220761,0.0,16.0,1.4
0.949819737,0.0,16.0,1.4
0.691365816,0.0,16.1,1.4
0.595252213,0.0,16.2,1.3
0.559951448,0.0,16.2,1.3
0.552660186,0.0,16.1,1.3
0.560349238,0.0,16.0,1.3
0.610933481,0.0,15.9,1.3
0.801580731,0.0,16.3,1.4
1.076258202,167.0101528602929,18.2,2.0
1.00436559,430.5103022948896,20.8,2.8000000000000003
0.851746613,645.2495638681651,22.700000000000003,3.0
0.838500811,793.9141566693618,23.8,2.8000000000000003
0.829634338,863.6947469833551,24.6,2.4000000000000004
0.814788399,853.6721588349529,25.0,2.1
0.792035895,767.0185147692729,25.0,2.0
0.792231247,601.8237232234703,24.0,1.7000000000000002
0.854486111,372.0270822835321,23.200000000000003,1.5
1.083675159,104.28438327591047,19.1,1.5
1.502991339,0.0,17.7,1.6
1.777478196,0.0,17.1,1.7000000000000002
1.728572974,0.0,16.900000000000002,1.7000000000000002
1.605278907,0.0,16.7,1.8
1.4752818,0.0,16.8,2.0
1.214019106,0.0,16.7,2.1
0.954059489,0.0,16.5,2.1
0.697173035,0.0,16.400000000000002,2.0
0.597063624,0.0,16.3,1.9
0.563958893,0.0,16.1,1.9
0.561954233,0.0,16.0,2.0
0.564569048,0.0,15.8,2.0
0.611422238,0.0,15.6,2.0
0.803033477,0.0,16.0,2.1
1.073024606,55.45312027035924,17.5,2.4000000000000004
0.988499064,156.84628085879194,19.5,2.8000000000000003
0.830603982,627.2120355755429,20.9,2.7
0.81922125,779.0640100837458,22.1,2.3000000000000003
0.829634338,847.7078460643238,23.0,1.8
0.814788399,511.63023999733315,23.5,1.4
0.792035895,745.5106792342123,23.700000000000003,1.3
0.792231247,584.7779994462319,23.0,1.1
0.854486111,359.3170402788249,22.4,0.9
1.083675159,105.52992799438636,19.4,0.9
1.50275718,0.0,18.2,1.1
1.777478196,0.0,17.400000000000002,1.2000000000000002
1.728572974,0.0,16.7,1.2000000000000002
1.600127698,0.0,16.1,1.3
1.458960971,0.0,15.8,1.3
1.197780545,0.0,15.5,1.2000000000000002
0.941079653,0.0,15.4,1.1
0.683778317,0.0,15.4,1.1
0.592314746,0.0,15.4,1.2000000000000002
0.555317985,0.0,15.4,1.2000000000000002
0.54527393,0.0,15.5,1.1
0.546470916,0.0,15.5,0.9
0.596501616,0.0,15.5,0.8
0.805735318,0.0,15.6,0.8
1.059615788,148.64359956921453,16.7,0.9
0.986133521,406.9423182525229,18.4,1.0
0.827915272,620.9698871684616,20.0,1.0
0.81328992,773.8028990518943,21.200000000000003,0.9
0.829634338,845.0362983639642,21.700000000000003,1.2000000000000002
0.814788399,520.4388246946065,21.700000000000003,1.7000000000000002
0.792035895,749.1367632418479,21.200000000000003,2.1
0.792231247,588.062936551988,20.3,2.2
0.854486111,361.7775980816858,19.700000000000003,2.1
1.083675159,94.92649285150736,16.6,1.8
1.50275718,0.0,15.8,1.5
1.777478196,0.0,15.3,1.1
1.728572974,0.0,14.8,0.9
1.600127698,0.0,14.4,0.8
1.458262622,0.0,13.9,1.0
1.181615917,0.0,13.4,1.2000000000000002
0.908382283,0.0,13.0,1.2000000000000002
0.656950496,0.0,12.6,1.1
0.554009436,0.0,12.1,1.2000000000000002
0.516974284,0.0,11.5,1.1
0.511230468,0.0,11.1,1.0
0.51659625,0.0,10.7,0.8
0.572360264,0.0,10.6,1.0
0.794070475,0.0,11.1,1.5
1.063706558,62.83555596237184,12.5,2.2
1.001451093,137.65935525467185,14.1,2.3000000000000003
0.86170144,272.8539146240835,15.6,1.9
0.864206149,327.5746533658349,16.8,1.9
0.882123098,350.4718253896458,17.3,2.0
0.862598906,263.71663125903564,17.3,2.1
0.835623927,556.6932934222503,17.1,2.0
0.831356819,315.7675376967986,16.400000000000002,1.8
0.891545084,353.44131068886287,15.9,1.7000000000000002
1.119593078,35.013587288351005,13.2,1.1
1.53810911,0.0,12.2,1.1
1.811788512,0.0,11.9,1.4
1.762817728,0.0,12.0,1.5
1.634983069,0.0,12.0,1.5
1.49386948,0.0,11.9,1.6
1.209909129,0.0,11.9,1.7000000000000002
0.933833552,0.0,11.9,1.8
0.667637191,0.0,12.0,1.8
0.572093927,0.0,12.0,2.0
0.538953271,0.0,12.1,2.2
0.533679816,0.0,12.0,2.2
0.538800221,0.0,12.0,2.2
0.595737812,0.0,11.9,2.3000000000000003
0.791554286,0.0,12.3,2.2
1.073937528,70.53570718339002,14.1,2.4000000000000004
1.009678998,194.36704225134469,16.1,3.0
0.862575669,660.8833759214355,17.6,3.7
0.864206149,811.052594690437,18.7,3.7
0.882123098,876.9044919492975,19.5,3.5
0.862598906,536.4853570519975,19.9,3.4000000000000004
0.835623927,780.3714165891253,20.1,3.2
0.831356819,617.0836934212278,19.5,2.9000000000000004
0.891545084,388.8957659664108,19.0,2.6
1.119593078,115.0734716386915,15.0,2.2
1.53810911,0.0,14.1,2.2
1.811788512,0.0,13.8,2.1
1.762817728,0.0,13.8,1.8
1.634983069,0.0,13.9,1.5
1.49386948,0.0,13.9,1.4
1.209909129,0.0,13.7,1.4
0.930766415,0.0,13.3,1.4
0.663624101,0.0,13.0,1.3
0.565106728,0.0,13.0,1.2000000000000002
0.531568979,0.0,13.1,1.1
0.520330951,0.0,13.1,1.0
0.520339064,0.0,12.8,1.0
0.576526296,0.0,12.6,1.1
0.766976097,0.0,12.9,1.1
1.042386405,69.00679577490742,14.7,1.4
0.96695083,421.5008879235083,16.900000000000002,2.0
0.81727032,638.0879549887934,18.3,2.2
0.81328992,791.0494786669828,19.5,1.9
0.829634338,862.5558463326552,20.200000000000003,1.6
0.814788399,856.297601100097,20.6,1.5
0.792035895,767.7792462771423,20.700000000000003,1.5
0.792231247,607.6972202104948,20.200000000000003,1.4
0.854486111,381.4320584550661,19.8,1.3
1.083675159,117.11933036615572,16.7,1.1
1.50275718,0.0,15.6,1.2000000000000002
1.777478196,0.0,15.0,1.2000000000000002
1.728572974,0.0,14.5,1.1
1.600127698,0.0,14.1,1.1
1.458262622,0.0,13.9,1.1
1.181615917,0.0,13.8,1.1
0.907266931,0.0,13.6,1.2000000000000002
0.651006464,0.0,13.4,1.4
0.558920454,0.0,13.3,1.5
0.529665387,0.0,13.4,1.4
0.523776388,0.0,13.5,1.3
0.526953307,0.0,13.5,1.2000000000000002
0.584038064,0.0,13.3,1.1
0.773903202,0.0,13.3,1.2000000000000002
1.050541394,66.94143425074344,14.7,1.4
0.974373543,189.53653276061013,16.8,1.4
0.816670382,631.3817165471734,18.4,1.1
0.81328992,484.8953759086567,19.5,1.1
0.829634338,555.9566612721696,20.0,1.4
0.814788399,524.2635674373792,20.200000000000003,1.7000000000000002
0.792035895,760.3424057864936,20.0,1.8
0.792231247,354.5261848939385,19.5,1.8
0.854486111,199.09406709215156,19.0,1.8
1.083675159,45.80454138937341,16.2,1.9
1.50275718,0.0,15.2,2.0
1.777478196,0.0,14.8,1.8
1.728572974,0.0,14.5,1.6
1.600127698,0.0,14.3,1.3
1.458262622,0.0,14.3,1.2000000000000002
1.181615917,0.0,14.5,0.9
0.906894026,0.0,14.5,0.8
0.641301024,0.0,14.5,0.9
0.54288631,0.0,14.4,1.1
0.516718185,0.0,14.3,1.2000000000000002
0.514854885,0.0,14.3,1.3
