Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1339645,-,-,-,42.37,-71.06,-5,9,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,1.9000000000000001,0.86,0.048,0.62,0,0,0,0,6,1.4000000000000001,0,0,0,0,0.252,96.26,158.74,0.97,0.09,1007,2.9000000000000004,146,1.7000000000000002
2019,1,1,1,30,2.6,0.72,0.039,0.62,0,0,0,0,6,1.8,0,0,0,0,0.249,94.57000000000001,151.26,0.97,0.09,1004,3.1,151,1.8
2019,1,1,2,30,3.3000000000000003,0.62,0.045,0.62,0,0,0,0,7,2.7,0,0,0,0,0.247,95.57000000000001,141.25,0.97,0.09,1000,3.2,164,1.8
2019,1,1,3,30,3.9000000000000004,0.71,0.06,0.62,0,0,0,0,7,3.5,0,0,0,0,0.249,97.03,130.37,0.96,0.09,997,3,189,1.6
2019,1,1,4,30,4.5,0.89,0.067,0.62,0,0,0,0,7,4.3,0,0,0,0,0.253,98.36,119.31,0.9500000000000001,0.09,996,2.4000000000000004,224,1.4000000000000001
2019,1,1,5,30,5,1.05,0.058,0.62,0,0,0,0,7,4.800000000000001,0,0,0,0,0.255,98.31,108.41,0.9400000000000001,0.09,995,2,243,1.4000000000000001
2019,1,1,6,30,5.6000000000000005,1.1300000000000001,0.046,0.62,0,0,0,0,7,5.2,0,0,0,0,0.254,97.55,97.96000000000001,0.92,0.09,995,1.8,244,1.4000000000000001
2019,1,1,7,30,6.4,1.21,0.042,0.62,16,189,23,6,6,6,10,0,86,10,0.255,97.19,87.96000000000001,0.92,0.09,996,1.7000000000000002,244,1.5
2019,1,1,8,30,7.4,1.28,0.041,0.62,43,594,150,6,4,6.9,79,117,82,100,0.257,96.63,79.60000000000001,0.92,0.09,996,1.6,250,1.5
2019,1,1,9,30,8.200000000000001,1.33,0.042,0.62,55,754,280,0,0,7.5,99,331,0,198,0.26,95.66,72.62,0.91,0.09,997,1.4000000000000001,263,1.5
