Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,-8,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,4.6000000000000005,1.29,0.015,0.67,0,0,0,0,0,0.1,0,0,0,0,0.328,72.39,164.79,0.86,0.12,1019,0.30000000000000004,26,3.9000000000000004
2019,1,1,1,30,4.5,1.32,0.015,0.67,0,0,0,0,0,-0.30000000000000004,0,0,0,0,0.327,70.89,157.88,0.86,0.12,1020,0.30000000000000004,26,3.9000000000000004
2019,1,1,2,30,4.5,1.33,0.014,0.67,0,0,0,0,0,-0.8,0,0,0,0,0.325,68.5,147.25,0.86,0.12,1020,0.30000000000000004,27,3.9000000000000004
2019,1,1,3,30,4.3,1.34,0.014,0.67,0,0,0,0,0,-1.3,0,0,0,0,0.324,67.1,135.62,0.86,0.12,1021,0.30000000000000004,28,3.8000000000000003
2019,1,1,4,30,4,1.35,0.014,0.67,0,0,0,0,0,-1.5,0,0,0,0,0.323,67.6,123.78,0.86,0.12,1021,0.30000000000000004,27,3.6
2019,1,1,5,30,3.7,1.35,0.014,0.67,0,0,0,0,2,-1.6,0,0,0,0,0.323,68.4,112.06,0.85,0.12,1022,0.30000000000000004,26,3.4000000000000004
2019,1,1,6,30,3.5,1.34,0.014,0.67,0,0,0,0,0,-1.7000000000000002,0,0,0,0,0.323,68.89,100.72,0.85,0.12,1023,0.30000000000000004,29,3.2
2019,1,1,7,30,4.3,1.35,0.014,0.67,10,152,11,2,3,-1.7000000000000002,7,76,29,8,0.323,65.12,89.5,0.86,0.12,1024,0.4,33,3.2
2019,1,1,8,30,6.1000000000000005,1.35,0.015,0.67,35,696,154,1,0,-1.3,44,609,14,148,0.323,59.29,80.14,0.86,0.12,1025,0.4,37,3.4000000000000004
2019,1,1,9,30,7.9,1.35,0.015,0.67,48,846,312,0,0,-2,55,818,7,310,0.322,49.54,71.8,0.88,0.12,1025,0.5,40,3.2
2019,1,1,10,30,9.600000000000001,0.97,0.022,0.67,58,911,437,0,0,-3.1,58,911,0,437,0.319,40.86,65.39,0.89,0.12,1024,0.5,38,2.6
2019,1,1,11,30,10.9,1.01,0.022,0.67,61,937,507,0,0,-4.2,70,915,7,506,0.315,34.5,61.57,0.89,0.12,1024,0.6000000000000001,28,2.1
2019,1,1,12,30,11.8,1.06,0.022,0.67,62,941,520,0,0,-4.9,62,941,0,520,0.31,30.82,60.85,0.89,0.12,1023,0.6000000000000001,17,2.1
2019,1,1,13,30,12.200000000000001,0.99,0.024,0.67,61,915,472,0,0,-4.9,61,915,0,472,0.305,29.97,63.33,0.89,0.12,1023,0.6000000000000001,12,2.1
2019,1,1,14,30,12.100000000000001,1.01,0.026000000000000002,0.67,57,853,367,4,0,-4.6000000000000005,88,752,50,362,0.301,30.88,68.66,0.9,0.12,1023,0.7000000000000001,14,1.8
2019,1,1,15,30,11.200000000000001,1.03,0.028,0.67,47,728,220,2,0,-2.3000000000000003,58,661,21,215,0.296,38.95,76.22,0.9,0.12,1023,0.7000000000000001,15,1.2000000000000002
2019,1,1,16,30,10.200000000000001,1.04,0.029,0.67,27,421,61,3,0,-1.5,32,222,43,50,0.293,44.18,85.33,0.9,0.12,1023,0.8,169,0.8
2019,1,1,17,30,9.700000000000001,1.04,0.028,0.67,0,0,0,0,0,-3.7,0,0,0,0,0.291,38.730000000000004,95.85000000000001,0.9,0.12,1024,0.8,307,0.8
2019,1,1,18,30,9.3,1.04,0.027,0.67,0,0,0,0,3,-3.6,0,0,0,0,0.28800000000000003,39.95,106.94,0.9,0.12,1024,0.8,284,1
2019,1,1,19,30,8.9,1.04,0.027,0.67,0,0,0,0,3,-3.2,0,0,0,0,0.28600000000000003,42.52,118.52,0.9,0.12,1024,0.8,276,1.2000000000000002
2019,1,1,20,30,8.6,1.04,0.028,0.67,0,0,0,0,3,-2.4000000000000004,0,0,0,0,0.28500000000000003,45.980000000000004,130.33,0.89,0.12,1024,0.8,275,1.4000000000000001
2019,1,1,21,30,8.3,1.04,0.027,0.67,0,0,0,0,0,-1.6,0,0,0,0,0.28400000000000003,49.88,142.11,0.89,0.12,1024,0.8,278,1.6
2019,1,1,22,30,8,1.05,0.026000000000000002,0.67,0,0,0,0,0,-0.7000000000000001,0,0,0,0,0.28200000000000003,54.17,153.33,0.88,0.12,1023,0.9,284,1.7000000000000002
2019,1,1,23,30,7.7,1.06,0.027,0.67,0,0,0,0,0,0.30000000000000004,0,0,0,0,0.281,59.370000000000005,162.46,0.88,0.12,1023,0.9,292,1.8
2019,1,2,0,30,7.6000000000000005,1.07,0.027,0.67,0,0,0,0,0,1.3,0,0,0,0,0.279,64.29,164.73,0.89,0.12,1023,1,300,1.9000000000000001
2019,1,2,1,30,7.5,1.07,0.028,0.67,0,0,0,0,0,2,0,0,0,0,0.277,68.16,157.89000000000001,0.89,0.12,1024,1.1,314,1.7000000000000002
2019,1,2,2,30,7.2,1.08,0.03,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,0.275,71.49,147.29,0.89,0.12,1024,1.1,336,1.5
2019,1,2,3,30,6.800000000000001,1.08,0.03,0.67,0,0,0,0,0,2.6,0,0,0,0,0.272,74.5,135.66,0.89,0.12,1023,1.1,184,1.4000000000000001
2019,1,2,4,30,6.2,1.09,0.03,0.67,0,0,0,0,0,2.6,0,0,0,0,0.271,77.78,123.82000000000001,0.88,0.12,1023,1.1,26,1.4000000000000001
2019,1,2,5,30,5.5,1.1,0.03,0.67,0,0,0,0,0,2.6,0,0,0,0,0.271,81.32000000000001,112.11,0.88,0.12,1023,1.1,38,1.5
2019,1,2,6,30,4.800000000000001,1.1300000000000001,0.03,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,0.271,84.26,100.76,0.88,0.12,1024,1.1,47,1.6
2019,1,2,7,30,5.2,1.16,0.03,0.67,9,111,10,0,0,2.2,9,111,0,10,0.27,80.79,89.52,0.88,0.12,1024,1.1,54,1.9000000000000001
2019,1,2,8,30,6.7,1.19,0.029,0.67,40,616,145,0,0,2.3000000000000003,40,616,0,145,0.268,73.61,80.15,0.88,0.12,1025,1.1,62,2
